"pop","super_pop","sample","sex","lat","lng"
"ACB","AFR","HG01914","male",13.1,-59.62
"ACB","AFR","HG02144","female",13.1,-59.62
"ACB","AFR","HG01915","female",13.1,-59.62
"ACB","AFR","HG02511","female",13.1,-59.62
"ACB","AFR","HG02255","male",13.1,-59.62
"ACB","AFR","HG02318","female",13.1,-59.62
"ACB","AFR","HG02508","female",13.1,-59.62
"ACB","AFR","HG02339","female",13.1,-59.62
"ACB","AFR","HG02009","male",13.1,-59.62
"ACB","AFR","HG02143","male",13.1,-59.62
"ACB","AFR","HG01990","male",13.1,-59.62
"ACB","AFR","HG02555","female",13.1,-59.62
"ACB","AFR","HG02256","female",13.1,-59.62
"ACB","AFR","HG02317","male",13.1,-59.62
"ACB","AFR","HG02554","male",13.1,-59.62
"ACB","AFR","HG01988","male",13.1,-59.62
"ACB","AFR","HG02010","female",13.1,-59.62
"ACB","AFR","HG01985","female",13.1,-59.62
"ACB","AFR","HG02014","male",13.1,-59.62
"ACB","AFR","HG02477","female",13.1,-59.62
"ACB","AFR","HG02419","female",13.1,-59.62
"ACB","AFR","HG02420","male",13.1,-59.62
"ACB","AFR","HG02549","female",13.1,-59.62
"ACB","AFR","HG01986","male",13.1,-59.62
"ACB","AFR","HG02505","female",13.1,-59.62
"ACB","AFR","HG02107","male",13.1,-59.62
"ACB","AFR","HG02012","female",13.1,-59.62
"ACB","AFR","HG02343","male",13.1,-59.62
"ACB","AFR","HG02455","male",13.1,-59.62
"ACB","AFR","HG01989","female",13.1,-59.62
"ACB","AFR","HG02281","male",13.1,-59.62
"ACB","AFR","HG02314","male",13.1,-59.62
"ACB","AFR","HG02502","female",13.1,-59.62
"ACB","AFR","HG02433","male",13.1,-59.62
"ACB","AFR","HG02315","female",13.1,-59.62
"ACB","AFR","HG02322","female",13.1,-59.62
"ACB","AFR","HG02013","male",13.1,-59.62
"ACB","AFR","HG02325","female",13.1,-59.62
"ACB","AFR","HG01894","female",13.1,-59.62
"ACB","AFR","HG02536","male",13.1,-59.62
"ACB","AFR","HG02537","female",13.1,-59.62
"ACB","AFR","HG02541","male",13.1,-59.62
